Date,Age,Gender,Country,state,work_interfere,benefits,leave,supervisor,tech_company
2014-08-27,31,Male,United States,CA,Sometimes,No,Don't know,No,No
2014-08-27,33,Male,United States,IN,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,34,Male,United States,WA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,34,Male,United States,WA,Sometimes,No,Somewhat easy,Some of them,Yes
2014-08-27,29,Male,United States,IN,,No,Very easy,Yes,Yes
2014-08-27,33,Other,United States,WA,,No,Somewhat difficult,Some of them,Yes
2014-08-27,34,Male,Germany,,Rarely,No,Somewhat difficult,Yes,Yes
2014-08-27,26,Male,United States,OK,Rarely,No,Don't know,Yes,No
2014-08-27,32,Male,United States,MI,Rarely,Yes,Don't know,Yes,No
2014-08-27,329,Male,United States,OH,Often,Yes,Don't know,No,Yes
2014-08-27,28,Male,United States,GA,Sometimes,Don't know,Somewhat difficult,No,Yes
2014-08-27,35,Male,United States,CA,,Yes,Very easy,Yes,Yes
2014-08-27,36,Male,United States,,Often,No,Very easy,Some of them,Yes
2014-08-27,21,Male,United States,IN,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,21,Male,United Kingdom,,Sometimes,Don't know,Very easy,No,No
2014-08-27,22,Female,United States,WA,,Yes,Somewhat easy,Some of them,Yes
2014-08-27,41,Male,United States,WA,Often,Yes,Somewhat difficult,Some of them,Yes
2014-08-27,55,Male,United States,PA,Rarely,Yes,Very easy,Yes,Yes
2014-08-27,32,Female,United States,WA,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-27,21,Female,United States,CA,Rarely,Don't know,Somewhat easy,No,Yes
2014-08-27,45,Male,United States,MA,Never,Yes,Don't know,Some of them,Yes
2014-08-27,27,Female,United States,WA,Rarely,Yes,Don't know,No,Yes
2014-08-27,25,Female,United States,WA,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,34,Other,United States,NY,Rarely,Yes,Very difficult,Some of them,No
2014-08-27,26,Female,United States,CA,Never,Yes,Don't know,No,Yes
2014-08-27,41,Male,Canada,,Never,Yes,Somewhat easy,Some of them,Yes
2014-08-27,27,Male,United States,CA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,31,Other,United States,IN,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,25,Male,Germany,,Often,No,Somewhat easy,Yes,Yes
2014-08-27,26,Male,United States,NV,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,27,Female,United States,CO,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,42,Male,New Zealand,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,29,Other,United States,CA,Sometimes,Yes,Very difficult,No,Yes
2014-08-27,25,Female,United States,CA,Sometimes,Don't know,Somewhat difficult,No,Yes
2014-08-27,33,Female,Sweden,,Rarely,Yes,Don't know,No,Yes
2014-08-27,99999999999,Other,Zimbabwe,,Often,No,Very difficult,No,Yes
2014-08-27,40,Female,United States,PA,Rarely,Yes,Somewhat easy,No,No
2014-08-27,31,Male,United States,SC,Never,Don't know,Somewhat easy,No,Yes
2014-08-27,26,Male,Canada,,Often,Don't know,Very easy,Yes,Yes
2014-08-27,24,Female,United States,TX,,No,Very difficult,No,No
2014-08-27,29,Male,United States,TX,Never,Yes,Don't know,Some of them,No
2014-08-27,48,Male,United Kingdom,,,Don't know,Don't know,No,Yes
2014-08-27,35,Male,United Kingdom,,Sometimes,No,Very difficult,Yes,Yes
2014-08-27,32,Female,United States,AL,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,29,Male,Canada,,Sometimes,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,26,Male,United States,OR,Often,Yes,Somewhat difficult,Yes,Yes
2014-08-27,28,Male,United States,NJ,Sometimes,Yes,Don't know,No,Yes
2014-08-27,23,Male,United States,CA,,Don't know,Don't know,Yes,Yes
2014-08-27,35,Male,United States,CA,Sometimes,Yes,Very difficult,Some of them,Yes
2014-08-27,29,Male,Germany,,Sometimes,Don't know,Very easy,Some of them,Yes
2014-08-27,26,Male,United States,CA,,Yes,Very easy,Yes,Yes
2014-08-27,33,Male,United States,NH,Never,Yes,Don't know,Some of them,Yes
2014-08-27,33,Male,United States,CA,,Don't know,Don't know,No,Yes
2014-08-27,22,Male,Brazil,,Never,Don't know,Somewhat easy,Yes,Yes
2014-08-27,30,Female,Spain,,,No,Don't know,No,Yes
2014-08-27,33,Male,United States,OH,Often,Yes,Somewhat easy,No,Yes
2014-08-27,31,Female,United States,OH,Rarely,Don't know,Very difficult,No,No
2014-08-27,21,Male,United States,MA,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,31,Other,United Kingdom,,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,26,Female,United States,OK,Sometimes,Don't know,Somewhat difficult,Some of them,Yes
2014-08-27,30,Male,United States,CA,Often,Don't know,Somewhat easy,Yes,Yes
2014-08-27,30,Other,Germany,,Sometimes,Don't know,Somewhat difficult,Yes,Yes
2014-08-27,23,Male,India,,,No,Don't know,Yes,Yes
2014-08-27,34,Male,Finland,,Never,No,Somewhat easy,Yes,Yes
2014-08-27,55,Male,United States,ID,Sometimes,No,Don't know,No,Yes
2014-08-27,28,Male,Germany,,Rarely,Yes,Very easy,Yes,Yes
2014-08-27,26,Male,Uruguay,,,Don't know,Don't know,No,Yes
2014-08-27,28,Male,New Zealand,,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,32,Male,United Kingdom,,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,28,Female,United States,NY,Rarely,Yes,Don't know,No,No
2014-08-27,21,Male,United States,CA,Sometimes,Don't know,Don't know,Some of them,No
2014-08-27,24,Male,United States,TX,Sometimes,No,Somewhat difficult,Some of them,Yes
2014-08-27,26,Female,United States,MD,,Yes,Don't know,No,No
2014-08-27,23,Male,United States,IN,,Yes,Don't know,No,No
2014-08-27,24,Female,United States,OR,,Yes,Somewhat easy,Some of them,Yes
2014-08-27,28,Male,Canada,,Never,Don't know,Somewhat easy,Yes,Yes
2014-08-27,24,Female,United States,NY,Rarely,No,Very easy,Some of them,Yes
2014-08-27,33,Male,United States,MS,Often,No,Somewhat easy,Some of them,Yes
2014-08-27,34,Male,United States,NJ,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,27,Female,United States,CA,Sometimes,Don't know,Somewhat difficult,Some of them,Yes
2014-08-27,28,Male,United States,TN,Never,Don't know,Don't know,Yes,Yes
2014-08-27,26,Male,United States,WA,,Don't know,Don't know,Yes,Yes
2014-08-27,20,Male,Australia,,,Don't know,Very easy,Yes,Yes
2014-08-27,23,Female,United States,MA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,29,Male,United States,PA,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,26,Male,United Kingdom,,Sometimes,No,Don't know,No,Yes
2014-08-27,36,Male,United States,KY,Rarely,Yes,Somewhat easy,No,Yes
2014-08-27,41,Male,United States,PA,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,33,Female,United States,MA,,Yes,Don't know,Yes,Yes
2014-08-27,23,Male,Canada,,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,39,Male,United States,CA,Often,Yes,Don't know,Some of them,Yes
2014-08-27,34,Male,United States,VT,,Yes,Don't know,Some of them,Yes
2014-08-27,26,Female,United States,CA,Sometimes,Yes,Somewhat difficult,Some of them,Yes
2014-08-27,24,Male,United States,AZ,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,37,Male,Canada,,Rarely,Yes,Don't know,Some of them,No
2014-08-27,43,Male,United States,MA,Often,Yes,Very easy,Yes,Yes
2014-08-27,40,Other,United States,VA,Never,Yes,Don't know,Some of them,Yes
2014-08-27,30,Male,United States,WA,Often,Yes,Very difficult,No,Yes
2014-08-27,34,Male,United States,CA,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,27,Male,United States,OR,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,36,Male,United States,MI,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,27,Male,Brazil,,Rarely,No,Somewhat easy,Some of them,Yes
2014-08-27,35,Male,Netherlands,,Never,Yes,Don't know,No,Yes
2014-08-27,32,Male,United Kingdom,,Never,No,Don't know,No,Yes
2014-08-27,37,Male,United States,OR,,Yes,Don't know,Some of them,Yes
2014-08-27,29,Male,United Kingdom,,,Don't know,Don't know,Yes,Yes
2014-08-27,33,Other,United States,CA,Never,Yes,Very easy,Yes,Yes
2014-08-27,28,Other,United States,UT,Sometimes,No,Somewhat easy,No,Yes
2014-08-27,26,Female,United States,CA,Never,Don't know,Somewhat difficult,No,Yes
2014-08-27,27,Male,United States,TX,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,38,Male,United Kingdom,,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,57,Male,United States,CA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,28,Male,United Kingdom,,Sometimes,No,Very difficult,Some of them,Yes
2014-08-27,26,Male,France,,Never,No,Don't know,Yes,Yes
2014-08-27,42,Female,Netherlands,,Rarely,Yes,Don't know,No,Yes
2014-08-27,31,Male,United States,OR,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,58,Male,United States,CA,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,29,Male,United States,OH,Sometimes,Don't know,Very difficult,No,Yes
2014-08-27,39,Female,United Kingdom,,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,34,Male,United States,OH,Sometimes,Don't know,Very difficult,Yes,Yes
2014-08-27,57,Male,United States,CA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,27,Male,Germany,,Sometimes,No,Somewhat difficult,No,Yes
2014-08-27,23,Male,Germany,,Often,Don't know,Don't know,Yes,Yes
2014-08-27,18,Male,Finland,,,Don't know,Very easy,No,No
2014-08-27,30,Female,United States,NY,,Don't know,Don't know,Yes,Yes
2014-08-27,23,Male,United States,VA,Never,Don't know,Don't know,Yes,No
2014-08-27,43,Male,United States,CA,Sometimes,Yes,Somewhat easy,No,Yes
2014-08-27,18,Female,United Kingdom,,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,29,Male,United States,IL,Rarely,Yes,Don't know,No,Yes
2014-08-27,48,Male,United States,TX,Never,Don't know,Don't know,No,Yes
2014-08-27,43,Male,Germany,,Sometimes,No,Somewhat easy,Some of them,No
2014-08-27,28,Female,United States,NY,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,30,Male,United States,CA,Often,No,Very easy,Yes,Yes
2014-08-27,26,Male,Israel,MD,Sometimes,No,Very easy,Yes,Yes
2014-08-27,33,Male,Italy,,Never,No,Don't know,Some of them,No
2014-08-27,31,Male,United States,CA,,Yes,Don't know,Some of them,Yes
2014-08-27,30,Male,United States,PA,Rarely,Don't know,Don't know,Some of them,No
2014-08-27,27,Male,Israel,,,No,Somewhat difficult,No,Yes
2014-08-27,24,Female,United States,CA,Sometimes,No,Don't know,Some of them,Yes
2014-08-27,25,Male,United States,WA,,Don't know,Don't know,No,Yes
2014-08-27,23,Female,United States,NY,Often,Yes,Don't know,Some of them,Yes
2014-08-27,36,Male,United States,TX,Sometimes,Yes,Somewhat difficult,No,No
2014-08-27,25,Female,United States,CA,Often,Don't know,Somewhat difficult,No,Yes
2014-08-27,54,Male,United Kingdom,,Sometimes,No,Very easy,Yes,No
2014-08-27,34,Male,Netherlands,,Rarely,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,38,Female,United States,AZ,,Yes,Don't know,No,Yes
2014-08-27,40,Male,Ireland,,,No,Don't know,No,Yes
2014-08-27,32,Male,United Kingdom,,,No,Don't know,Some of them,Yes
2014-08-27,25,Male,Germany,,Never,Don't know,Don't know,Yes,No
2014-08-27,35,Female,United States,OH,Sometimes,No,Don't know,No,Yes
2014-08-27,46,Male,United States,CA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,42,Male,United States,KS,Never,Yes,Very difficult,Yes,No
2014-08-27,32,Male,United Kingdom,,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,47,Male,United States,CA,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,22,Male,United States,CA,,Yes,Don't know,Yes,Yes
2014-08-27,33,Female,United States,NY,Sometimes,Yes,Very easy,Some of them,Yes
2014-08-27,25,Female,United States,WA,Sometimes,No,Somewhat easy,No,Yes
2014-08-27,29,Male,United States,CA,,Don't know,Don't know,No,Yes
2014-08-27,39,Male,United States,WA,Never,Yes,Very easy,Yes,Yes
2014-08-27,38,Male,United States,VA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,43,Male,United States,NC,,Don't know,Don't know,No,Yes
2014-08-27,46,Male,United States,OH,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,38,Female,United States,PA,Sometimes,Yes,Very easy,Yes,No
2014-08-27,33,Male,Germany,,Sometimes,Yes,Very easy,Some of them,Yes
2014-08-27,34,Male,United Kingdom,,Often,No,Very easy,Yes,Yes
2014-08-27,62,Male,United States,CA,Never,Yes,Don't know,Yes,Yes
2014-08-27,23,Female,United States,TX,,Don't know,Don't know,Some of them,No
2014-08-27,35,Male,United States,AZ,,No,Don't know,No,No
2014-08-27,25,Male,Bosnia and Herzegovina,,Rarely,Don't know,Don't know,No,Yes
2014-08-27,36,Male,United States,IL,Sometimes,Don't know,Somewhat difficult,Yes,Yes
2014-08-27,41,Female,United States,,Rarely,Yes,Very easy,Some of them,Yes
2014-08-27,24,Male,Austria,,Sometimes,Yes,Somewhat easy,Some of them,Yes
2014-08-27,51,Male,New Zealand,,Sometimes,No,Somewhat difficult,No,Yes
2014-08-27,29,Male,United States,NC,Sometimes,Yes,Very easy,Some of them,Yes
2014-08-27,31,Female,Canada,,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,27,Male,United Kingdom,,,No,Don't know,Yes,Yes
2014-08-27,31,Male,Australia,,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,27,Female,Hungary,,Sometimes,No,Very difficult,No,Yes
2014-08-27,23,Male,Sweden,,Rarely,Don't know,Very easy,Yes,Yes
2014-08-27,21,Male,Canada,,Never,Don't know,Don't know,No,Yes
2014-08-27,27,Female,Australia,,Sometimes,No,Somewhat difficult,Some of them,Yes
2014-08-27,39,Male,United States,WI,Often,Yes,Somewhat easy,Yes,Yes
2014-08-27,26,Male,United States,CA,Never,Don't know,Don't know,No,Yes
2014-08-27,27,Male,United Kingdom,,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,22,Female,United States,CA,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,26,Female,United States,MN,Often,Don't know,Somewhat difficult,No,No
2014-08-27,31,Female,United States,PA,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,32,Male,United Kingdom,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,28,Female,United States,CA,Often,Yes,Don't know,Some of them,Yes
2014-08-27,28,Other,United Kingdom,,Rarely,No,Somewhat difficult,Some of them,Yes
2014-08-27,23,Female,United Kingdom,,,Don't know,Very easy,Some of them,Yes
2014-08-27,30,Male,United Kingdom,,Never,Don't know,Very easy,Yes,Yes
2014-08-27,36,Male,United States,CA,Sometimes,Yes,Somewhat difficult,Yes,Yes
2014-08-27,21,Male,United States,CA,,Yes,Don't know,Yes,Yes
2014-08-27,30,Male,Germany,,Often,No,Somewhat easy,Some of them,Yes
2014-08-27,25,Female,United States,CA,,Don't know,Don't know,Some of them,No
2014-08-27,32,Male,New Zealand,,Sometimes,No,Very easy,Yes,Yes
2014-08-27,29,Female,Canada,,Sometimes,No,Don't know,Some of them,Yes
2014-08-27,21,Other,United Kingdom,,Sometimes,No,Somewhat easy,Some of them,Yes
2014-08-27,27,Female,New Zealand,,Rarely,No,Somewhat easy,Some of them,Yes
2014-08-27,32,Female,Canada,,Often,Don't know,Don't know,Some of them,No
2014-08-27,34,Male,Australia,,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,33,Male,United States,NY,,Don't know,Don't know,No,Yes
2014-08-27,22,Male,Netherlands,,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,24,Male,United States,CA,,Don't know,Don't know,Some of them,Yes
2014-08-27,65,Male,United States,FL,,No,Very easy,No,No
2014-08-27,27,Male,United States,OR,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,33,Male,Australia,,Never,Don't know,Very easy,Yes,Yes
2014-08-27,36,Male,United States,CO,Rarely,Don't know,Don't know,Some of them,Yes
2014-08-27,40,Male,Canada,,Never,No,Somewhat difficult,Some of them,Yes
2014-08-27,28,Male,United States,GA,Sometimes,Yes,Somewhat difficult,No,Yes
2014-08-27,39,Male,United States,OR,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,32,Male,United States,CA,Sometimes,Yes,Somewhat easy,Some of them,Yes
2014-08-27,31,Male,United States,CA,Sometimes,Yes,Somewhat easy,Some of them,Yes
2014-08-27,38,Other,United States,PA,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,23,Male,United States,CA,Rarely,No,Don't know,Yes,Yes
2014-08-27,42,Other,United States,CA,Often,Yes,Somewhat easy,Yes,Yes
2014-08-27,27,Female,United States,NY,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,26,Female,United States,MA,Sometimes,Yes,Somewhat difficult,Yes,Yes
2014-08-27,50,Male,United States,,Never,No,Don't know,No,Yes
2014-08-27,37,Male,United States,PA,Never,Don't know,Somewhat easy,Yes,Yes
2014-08-27,23,Male,United States,RI,,Don't know,Don't know,Yes,Yes
2014-08-27,33,Male,United States,MI,Sometimes,Don't know,Very easy,Yes,Yes
2014-08-27,29,Male,Canada,,Never,Yes,Very difficult,No,Yes
2014-08-27,34,Male,United States,IL,Sometimes,Yes,Don't know,Some of them,No
2014-08-27,41,Male,United States,CA,Often,Yes,Don't know,Some of them,Yes
2014-08-27,50,Male,United States,OR,,Don't know,Don't know,Yes,Yes
2014-08-27,29,Male,Canada,,Never,Yes,Somewhat difficult,No,No
2014-08-27,35,Male,United States,IN,Never,No,Very easy,Yes,Yes
2014-08-27,27,Male,Singapore,,Sometimes,No,Don't know,Yes,Yes
2014-08-27,40,Female,United States,MA,Never,Don't know,Somewhat easy,Yes,No
2014-08-27,27,Male,Australia,,Often,No,Don't know,No,Yes
2014-08-27,29,Female,United States,MI,Never,Yes,Don't know,Some of them,Yes
2014-08-27,31,Male,United States,OH,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,43,Male,United States,OH,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,34,Male,United States,NH,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,29,Male,United States,OH,Sometimes,Don't know,Somewhat difficult,Some of them,Yes
2014-08-27,19,Male,Canada,,Sometimes,No,Don't know,No,Yes
2014-08-27,41,Male,United States,TN,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,29,Male,United States,OR,Never,Yes,Don't know,Yes,Yes
2014-08-27,23,Male,United States,PA,Rarely,Yes,Don't know,Some of them,Yes
2014-08-27,24,Female,United States,,Sometimes,Yes,Somewhat difficult,No,Yes
2014-08-27,31,Male,United States,NY,,Don't know,Don't know,No,Yes
2014-08-27,43,Male,United States,WA,,Don't know,Don't know,Yes,Yes
2014-08-27,31,Male,United States,NY,Rarely,No,Somewhat difficult,No,Yes
2014-08-27,29,Male,United States,CA,Often,Yes,Don't know,Yes,Yes
2014-08-27,35,Male,United States,TN,,No,Very easy,Yes,Yes
2014-08-27,33,Male,United States,WI,Sometimes,Yes,Somewhat difficult,No,No
2014-08-27,30,Other,United States,WI,Often,No,Somewhat difficult,Yes,No
2014-08-27,27,Male,United States,PA,,Yes,Don't know,No,Yes
2014-08-27,32,Male,United States,MI,Sometimes,No,Don't know,Some of them,Yes
2014-08-27,50,Male,United States,WY,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,24,Male,United States,KY,Never,Don't know,Don't know,No,No
2014-08-27,27,Male,United States,NY,,Don't know,Don't know,Yes,Yes
2014-08-27,27,Male,Australia,,Never,No,Don't know,No,Yes
2014-08-27,32,Male,United States,TX,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,42,Male,United States,WI,Rarely,No,Very easy,Yes,No
2014-08-27,37,Male,United States,WA,Often,Don't know,Don't know,No,No
2014-08-27,30,Male,Singapore,,Sometimes,Don't know,Somewhat easy,No,Yes
2014-08-28,29,Male,United States,WA,Rarely,Yes,Very easy,No,Yes
2014-08-28,30,Male,United States,GA,Often,No,Somewhat difficult,Yes,Yes
2014-08-28,35,Male,United States,MI,Never,Yes,Don't know,Some of them,Yes
2014-08-28,35,Male,United States,MD,Rarely,Yes,Very difficult,No,No
2014-08-28,38,Male,Netherlands,,Often,No,Don't know,Some of them,Yes
2014-08-28,22,Male,United Kingdom,,Sometimes,Yes,Very easy,Yes,Yes
2014-08-28,24,Male,Germany,,Sometimes,Don't know,Somewhat easy,Some of them,Yes
2014-08-28,22,Male,Netherlands,,Never,Don't know,Don't know,Yes,Yes
2014-08-28,31,Female,United States,WA,Often,Yes,Very easy,Some of them,Yes
2014-08-28,23,Female,United States,CA,Sometimes,Yes,Somewhat easy,No,Yes
2014-08-28,31,Female,United States,OR,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-28,28,Female,United States,CA,Rarely,Yes,Somewhat difficult,Some of them,Yes
2014-08-28,37,Other,Canada,,Sometimes,Yes,Somewhat difficult,Some of them,No
2014-08-28,34,Male,United States,CA,Sometimes,No,Somewhat easy,Some of them,Yes
2014-08-28,32,Other,Canada,,Sometimes,No,Very difficult,No,Yes
2014-08-28,28,Male,United States,MI,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-28,24,Female,United Kingdom,,Sometimes,No,Don't know,Some of them,Yes
2014-08-28,56,Other,United States,MA,Rarely,Yes,Don't know,Some of them,Yes
2014-08-28,31,Male,Germany,,Sometimes,No,Very easy,Yes,Yes
2014-08-28,34,Female,United States,CA,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-28,35,Male,Germany,,Rarely,Don't know,Very easy,Yes,No
2014-08-28,28,Male,Germany,,Never,No,Somewhat easy,Some of them,Yes
2014-08-28,36,Male,Poland,,Often,No,Somewhat easy,Yes,Yes
2014-08-28,30,Male,United Kingdom,,Often,No,Somewhat easy,Yes,Yes
2014-08-28,35,Male,United States,,,Yes,Very easy,Yes,Yes
2014-08-28,49,Male,Japan,,Sometimes,No,Somewhat difficult,No,Yes
2014-08-28,36,Male,Germany,,,Yes,Very easy,Yes,Yes
2014-08-28,35,Male,Germany,,,No,Very easy,Some of them,Yes
2014-08-28,29,Female,Australia,,Sometimes,Yes,Somewhat difficult,Some of them,No
2014-08-28,57,Male,United States,CA,Never,Yes,Somewhat difficult,No,Yes
2014-08-28,31,Female,Belgium,,Rarely,Yes,Don't know,No,No
2014-08-28,37,Male,Ireland,,Never,No,Don't know,No,Yes
2014-08-28,25,Male,Ireland,,Sometimes,No,Don't know,Some of them,Yes
2014-08-28,30,Male,Australia,,Sometimes,No,Very easy,Some of them,Yes
2014-08-28,26,Female,Australia,,Sometimes,No,Somewhat easy,Yes,No
2014-08-28,22,Female,Netherlands,,Often,No,Don't know,Some of them,Yes
2014-08-28,39,Male,United States,FL,Rarely,Don't know,Don't know,Some of them,No
2014-08-28,29,Male,United Kingdom,,Never,Don't know,Don't know,No,Yes
2014-08-28,54,Male,United Kingdom,,Sometimes,Don't know,Very easy,Yes,Yes
2014-08-28,34,Female,Australia,,Never,Don't know,Don't know,No,No
2014-08-28,32,Male,United States,WA,Never,Yes,Very easy,No,No
2014-08-28,25,Male,Nigeria,,,No,Don't know,Yes,Yes
2014-08-28,29,Male,Poland,,Rarely,No,Somewhat difficult,No,Yes
2014-08-28,32,Male,Germany,,Never,No,Don't know,Yes,Yes
2014-08-28,30,Male,United Kingdom,,Sometimes,Yes,Don't know,Yes,Yes
2014-08-28,31,Male,Germany,,,Don't know,Somewhat easy,Yes,Yes
2014-08-28,20,Female,Switzerland,,Rarely,Yes,Somewhat easy,Some of them,Yes
2014-08-28,27,Male,United Kingdom,,Never,Don't know,Don't know,Yes,Yes
2014-08-28,32,Male,United States,CA,Never,Don't know,Don't know,Some of them,Yes
2014-08-28,26,Male,Ireland,,Never,No,Somewhat difficult,Yes,Yes
2014-08-28,30,Male,Italy,,Sometimes,Don't know,Very easy,Some of them,No
2014-08-28,30,Male,Ireland,,Sometimes,No,Very difficult,No,Yes
2014-08-28,22,Male,India,,,Don't know,Very easy,Some of them,Yes
2014-08-28,24,Male,Ireland,,,Don't know,Don't know,No,Yes
2014-08-28,26,Male,Netherlands,,Never,No,Don't know,No,Yes
2014-08-28,43,Male,France,,,Don't know,Don't know,Yes,Yes
2014-08-28,26,Male,Russia,,Never,No,Somewhat difficult,No,Yes
2014-08-28,23,Male,United States,NC,Sometimes,Don't know,Don't know,No,Yes
2014-08-28,26,Other,Canada,,,Yes,Somewhat easy,Some of them,Yes
2014-08-28,26,Female,Israel,,Never,Don't know,Don't know,No,Yes
2014-08-28,35,Male,Canada,,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-28,28,Male,United States,IL,Sometimes,Don't know,Don't know,Yes,No
2014-08-28,22,Male,India,,,No,Don't know,Yes,Yes
2014-08-28,29,Female,United States,OH,Rarely,Don't know,Don't know,No,Yes
2014-08-28,29,Male,Germany,,,No,Very easy,Yes,Yes
2014-08-28,45,Male,United States,VA,Often,Yes,Very easy,Yes,Yes
2014-08-28,33,Male,Bulgaria,,Rarely,No,Somewhat easy,Some of them,Yes
2014-08-28,38,Male,United States,MN,Sometimes,Yes,Don't know,Yes,No
2014-08-28,19,Other,United States,MO,Often,Don't know,Somewhat difficult,No,No
2014-08-28,29,Female,Canada,,Rarely,Yes,Somewhat easy,Yes,No
2014-08-28,21,Female,United Kingdom,,,No,Don't know,No,Yes
2014-08-28,23,Female,India,,Sometimes,Don't know,Don't know,No,Yes
2014-08-28,33,Female,United States,NC,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-28,49,Male,United States,NY,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-28,28,Male,United States,NM,,Don't know,Don't know,No,Yes
2014-08-28,27,Female,United Kingdom,,Sometimes,Don't know,Very easy,Yes,Yes
2014-08-28,23,Male,Canada,,Sometimes,Yes,Somewhat easy,Some of them,Yes
2014-08-28,29,Male,Netherlands,,Never,No,Somewhat easy,Yes,Yes
2014-08-28,30,Male,Germany,,,Don't know,Somewhat easy,No,Yes
2014-08-28,28,Female,Canada,,,Yes,Somewhat easy,Yes,Yes
2014-08-28,32,Male,United Kingdom,,,No,Don't know,No,Yes
2014-08-28,32,Male,United Kingdom,,Sometimes,Yes,Very easy,Yes,No
2014-08-28,37,Male,France,,,No,Somewhat easy,Some of them,Yes
2014-08-28,39,Female,United States,TX,,No,Very difficult,No,No
2014-08-28,31,Male,France,,,Don't know,Don't know,No,Yes
2014-08-28,29,Male,United States,SC,,No,Somewhat difficult,No,Yes
2014-08-28,30,Male,United States,FL,,Yes,Don't know,Yes,No
2014-08-28,33,Male,United States,WA,Rarely,No,Very difficult,Yes,Yes
2014-08-28,37,Male,United States,CA,Sometimes,Yes,Don't know,Yes,Yes
2014-08-28,23,Male,United States,OH,Often,Yes,Somewhat easy,Yes,No
2014-08-28,43,Male,United States,TN,Sometimes,Yes,Somewhat easy,No,No
2014-08-28,32,Male,United Kingdom,,Rarely,Don't know,Don't know,Yes,Yes
2014-08-28,26,Male,United States,NY,Never,Don't know,Don't know,No,Yes
2014-08-28,32,Male,United States,NY,Sometimes,Don't know,Very easy,Yes,Yes
2014-08-28,37,Female,United States,MO,,Don't know,Don't know,No,Yes
2014-08-28,29,Male,United States,NY,Often,Yes,Very easy,Yes,Yes
2014-08-28,34,Male,United Kingdom,,,No,Somewhat easy,Yes,Yes
